longitude,latitude,type,filterrank,category_en,sizerank,maki,class,name
-70.683513879776,-33.62299968995411,Kindergarten,2,Kindergarten,15,school,education,Jardín Infantil Raíces del Folclore
-70.68536058068275,-33.622776342379865,Park,1,Park,14,park,park_like,Plaza Juan Fisher
-70.6734636425972,-33.611382614668535,Prison,1,Prison Grounds,12,prison,public_facilities,CIP CRC Tiempo Joven
-70.6869189441204,-33.61008031462598,Fast Food,1,Fast Food,16,fast-food,food_and_drink,Pollito Campeón Los Suspiros
-70.56578367948532,-33.408807899720145,Bicycle Rental,5,Bicycle Rental,16,bicycle,commercial_services,Bikesantiago
-70.57395100593567,-33.40512017286522,Fast Food,5,Fast Food,16,fast-food,food_and_drink,Cafe Goumet Velapert
-70.57383030653,-33.40503732595886,Fast Food,5,Fast Food,16,fast-food,food_and_drink,Hamburguesas El Corral
-70.57391077280045,-33.40505523881017,Fast Food,5,Fast Food,16,fast-food,food_and_drink,Tommy Beans
-70.57397246360779,-33.405069792999136,Pharmacy,5,Pharmacy,16,pharmacy,medical,Cruz Verde
-70.57423934340477,-33.40522876936607,Fast Food,5,Fast Food,16,fast-food,food_and_drink,Caiqui
-70.57400733232498,-33.40483804523889,Company,5,,16,marker,general,CGE Transmisión
-70.57416826486588,-33.40489850123595,Convenience,5,Convenience Store,16,convenience,food_and_drink_stores,OK Market
-70.7477018237114,-33.36093589152689,Veterinary,4,Veterinary Office,16,veterinary,commercial_services,"Clínica Veterinaria ""Lo Marcoleta"""
-70.74680998921394,-33.36033438430432,Pet,4,Pet Store,16,shop,store_like,Wüena Rocky
-70.74699237942696,-33.36036350765482,Convenience,3,Convenience Store,16,convenience,food_and_drink_stores,Distribuidora Jehová Jiréh
-70.74785873293877,-33.3609627744342,Pharmacy,2,Pharmacy,16,pharmacy,medical,Farmaxal
-70.74757173657417,-33.366208142812624,Parking,5,Car Parking,15,parking,motorist,
-70.7489812374115,-33.36456164867193,Place Of Worship,1,Church,15,religious-christian,religion,Parroquia Sagrada Familia de Quilicura
