X,Y,FID,objectid,id,especial,estacion,nombre,temporal,f1,tipo,linea,longitud,latitud
-7854355.32172556,-3949552.34408007,85,0,85,EXISTENTE,EXISTENTE,HERNANDO DE MAGALLANES,,0,ESTACION METRO,Linea 1,-70.55687432411571,-33.40775358261516
-7855641.5977342,-3949737.34407662,86,0,86,EXISTENTE,EXISTENTE,MANQUEHUE,,0,ESTACION METRO,Linea 1,-70.56842913809729,-33.40914086739998
-7853016.76175061,-3949571.07264615,87,0,87,EXISTENTE,EXISTENTE,LOS DOMINICOS,,0,ESTACION METRO,Linea 1,-70.54484983527364,-33.40789402608388
-7876651.67242417,-3963260.74336881,88,0,88,EXISTENTE,EXISTENTE,PLAZA DE MAIPU,,0,ESTACION METRO,Linea 5,-70.75716585024223,-33.51049059717951
-7869111.53822111,-3944053.51790983,89,0,89,PROYECTADO,PROYECTADO,HUECHURABA,,0,ESTACION METRO,Linea 3,-70.689431672253,-33.3665086683468
-7867986.5777221,-3946642.05960709,90,0,90,PROYECTADO,PROYECTADO,VIVACETA,,0,ESTACION METRO,Linea 3,-70.6793259801501,-33.385926918879214
-7868777.44212435,-3945000.19782645,91,0,91,PROYECTADO,PROYECTADO,CARDENAL CARO,,0,ESTACION METRO,Linea 3,-70.68643043595216,-33.37361080212686
-7866923.13066143,-3948241.60249906,92,0,92,PROYECTADO,PROYECTADO,CONCHALI,,0,ESTACION METRO,Linea 3,-70.66977287266558,-33.39792391085145
-7865959.91538662,-3949387.47834289,93,0,93,PROYECTADO,PROYECTADO,PLAZA CHACABUCO,,0,ESTACION METRO,Linea 3,-70.66112016263298,-33.40651726268605
-7865421.12541729,-3950888.63005877,94,0,94,PROYECTADO,PROYECTADO,HOSPITALES,,0,ESTACION METRO,Linea 3,-70.65628012998918,-33.41777367512678
-7864785.43751069,-3955434.04686238,95,0,95,PROYECTADO,PROYECTADO,PARQUE ALMAGRO,,0,ESTACION METRO,Linea 3,-70.6505696483649,-33.45184866446883
-7863981.14400645,-3956302.37746196,96,0,96,PROYECTADO,PROYECTADO,MATTA,,0,ESTACION METRO,Linea 3,-70.64334455688713,-33.45835663447363
-7858973.46190202,-3955826.14703153,97,0,97,PROYECTADO,PROYECTADO,CHILE ESPAÑA,,0,ESTACION METRO,Linea 3,-70.59835978316292,-33.45478743992966
-7860678.13392376,-3955620.38973197,98,0,98,PROYECTADO,PROYECTADO,MONSEÑOR EYZAGUIRRE,,0,ESTACION METRO,Linea 3,-70.61367311247831,-33.45324530942035
-7856950.54435967,-3955821.13519157,99,0,99,PROYECTADO,PROYECTADO,DIAGONAL ORIENTE,,0,ESTACION METRO,Linea 3,-70.58018760569485,-33.45474987701318
-7859713.54174325,-3955743.69256908,100,0,100,PROYECTADO,PROYECTADO,ÑUÑOA,INTERMODAL,0,ESTACION METRO,Linea 3,-70.60500803349137,-33.454169455222015
-7854587.24458044,-3955479.17654772,101,0,101,PROYECTADO,PROYECTADO,LARRAIN,,0,ESTACION METRO,Linea 3,-70.55895772256848,-33.45218691477035
-7859997.65885529,-3953661.43079236,102,0,102,PROYECTADO,PROYECTADO,INES DE SUAREZ,,0,ESTACION METRO,Linea 6,-70.60756030093363,-33.43856173347393
-7859867.09109339,-3956849.56558961,103,0,103,PROYECTADO,PROYECTADO,ESTADIO NACIONAL,,0,ESTACION METRO,Linea 6,-70.60638739077235,-33.46245745283688
-7863852.18646947,-3958704.32572936,104,0,104,PROYECTADO,PROYECTADO,BIO BIO,,0,ESTACION METRO,Linea 6,-70.64218611162242,-33.476356227947754
-7866404.62461508,-3958709.66543948,105,0,105,PROYECTADO,PROYECTADO,CLUB HÍPICO,,0,ESTACION METRO,Linea 6,-70.66511505360212,-33.47639623822191
-7868094.56746662,-3958695.83521876,106,0,106,PROYECTADO,PROYECTADO,LO VALLEDOR,,0,ESTACION METRO,Linea 6,-70.6802960685304,-33.4762926087901
-7874649.07384076,-3955513.13672839,107,0,107,EXISTENTE,EXISTENTE,BARRANCAS,,0,ESTACION METRO,Linea 5,-70.73917620108789,-33.452441447945255
-7874497.38509084,-3956897.61229332,108,0,108,EXISTENTE,EXISTENTE,LAGUNA SUR,,0,ESTACION METRO,Linea 5,-70.73781355786306,-33.462817522300575
-7874710.53414671,-3958565.28749848,109,0,109,EXISTENTE,EXISTENTE,LAS PARCELAS,,0,ESTACION METRO,Linea 5,-70.7397283084099,-33.475314412504645
-7875311.95122893,-3959476.07592419,110,0,110,EXISTENTE,EXISTENTE,MONTE TABOR,,0,ESTACION METRO,Linea 5,-70.74513092998079,-33.482138735395736
-7876087.00471043,-3960384.91831786,111,0,111,EXISTENTE,EXISTENTE,DEL SOL,,0,ESTACION METRO,Linea 5,-70.7520933538652,-33.488947941259674
-7876675.54678595,-3961378.27355509,112,0,112,EXISTENTE,EXISTENTE,SANTIAGO BUERAS,,0,ESTACION METRO,Linea 5,-70.75738031728308,-33.49638971976205
-7872040.19830442,-3954268.35437678,113,0,113,EXISTENTE,EXISTENTE,LO PRADO,,0,ESTACION METRO,Linea 5,-70.71574027340128,-33.44311125666831
-7869306.99484026,-3953598.22609016,114,0,114,EXISTENTE,EXISTENTE,GRUTA DE LOURDES,,0,ESTACION METRO,Linea 5,-70.69118748893665,-33.43808793481053
-7871087.42877686,-3954045.64254574,115,0,115,EXISTENTE,EXISTENTE,BLANQUEADO,,0,ESTACION METRO,Linea 5,-70.70718139911278,-33.44144182768382
-7874813.0363333,-3954484.6814047,116,0,116,EXISTENTE,EXISTENTE,PUDAHUEL,,0,ESTACION METRO,Linea 5,-70.7406491012186,-33.444732794953225
-7869763.96255114,-3959632.24576398,117,0,117,PROYECTADO,PROYECTADO,CERRILLOS,,0,ESTACION METRO,Linea 6,-70.69529249972699,-33.48330882518657
