longitude,latitude,type,class,name,cat,poi_id
-70.66343352198601,-33.46012649754684,Restaurant,food_and_drink,Johnny Rockets,1,16067
-70.66125825047493,-33.46099359645054,Playground,park_like,NoName,1,16068
-70.66269189119339,-33.460024682784045,Theme Park,arts_and_entertainment,Fantasilandia,3,16069
-70.66137090325356,-33.46058410308128,Convenience,food_and_drink_stores,Kiosk,1,16070
-70.71031719446182,-33.472290822728056,Bakery,food_and_drink_stores,NoName,1,16071
-70.71242809295654,-33.47493311848864,Kindergarten,education_prim,Ave Luz,1,16072
-70.72281092405319,-33.47437714677669,Restaurant,food_and_drink,Marisquería,1,16073
-70.62903687357903,-33.43227290680914,Hospital,medical,Edificio C,2,16074
-70.62956526875496,-33.43197855612594,Restaurant,food_and_drink,Don Joaquin,1,16075
-70.62869623303413,-33.43254487252263,Hospital,medical,Clínica Santa María,2,16076
-70.62975972890854,-33.432334462909445,Restaurant,food_and_drink,NoName,1,16077
-70.62995955348015,-33.432205754649914,Restaurant,food_and_drink,Capellán 8,1,16078
-70.62958270311356,-33.43270827538095,Hospital,medical,Colegio Clínica,2,16079
-70.62816381454468,-33.43241840297586,Hospital,medical,Edificio B,2,16080
-70.62851786613464,-33.432770950368266,Hospital,medical,Edificio A,2,16081
-70.62946066260338,-33.43283586370027,Hospital,medical,Edificio E,2,16082
-70.62983483076096,-33.4326758186733,Cafe,food_and_drink,Cocin Arte Café,1,16083
-70.62780439853668,-33.43214643686605,Hospital,medical,Edificio D y Colegio Ingenieros,2,16084
-70.63014194369316,-33.43272058654276,Restaurant,food_and_drink,Casa Capellán Sandwich bar,1,16085
-70.63087955117226,-33.43309887411751,Convenience,food_and_drink_stores,Ocaranza Market,1,16086
-70.63094392418861,-33.43326115674327,Cafe,food_and_drink,Les Trois Cafe ans Restaurant,1,16087
-70.63098147511482,-33.433257799174775,Convenience,food_and_drink_stores,Euro Market,1,16088
-70.60579553246498,-33.418326526831684,Cafe,food_and_drink,Starbucks,1,16089
-70.51760986447334,-33.32560009547222,Supermarket,food_and_drink_stores,Jumbo,2,16090
-70.51875114440918,-33.325941870459374,Convenience,food_and_drink_stores,Upita,1,16091
-70.51723971962929,-33.32971811468934,Kindergarten,education_prim,Jardin Infantil My Little Garden,1,16092
-70.51755890250206,-33.33023579476222,Park,park_like,Plaza Berna,1,16093
-70.515296459198,-33.31751364443426,Pitch,sport_and_leisure,Medialuna,1,16094
-70.75185924768448,-33.45803087948639,Convenience,food_and_drink_stores,Botillería Javier,1,16095
-70.75309306383133,-33.45882974893914,School,education_prim,Colegio Padre Hurtado de Pudahuel,1,16096
-70.75287446379662,-33.45942945562407,School,education_prim,Escuela Monseñor Enrique Alvear,1,16097
-70.75187265872955,-33.459892659067414,Butcher,food_and_drink_stores,Carnes La Reinita,1,16098
-70.7525110244751,-33.4597841309464,Church,religion,Parroquia Santa María del Sur,1,16099
-70.7517009973526,-33.45758556810892,Restaurant,food_and_drink,Pizzeria Zappipizza,1,16100
-70.75095936655998,-33.46006496116604,Fire Station,security,Octava Compañia del Cuerpo de Bomberos de Quinta Normal,3,16101
-70.75248822569847,-33.46029879918073,Butcher,food_and_drink_stores,Carnes Sabor Sureño,1,16102
-70.75190216302872,-33.460418515049405,Pharmacy,medical,Farmacias del Dr.,1,16103
-70.75175061821938,-33.460443129506594,Supermarket,food_and_drink_stores,Ekono,2,16104
-70.75086414813995,-33.46052592353855,Restaurant,food_and_drink,Restaurant Long Fa,1,16105
-70.75044438242912,-33.46060647981808,Pharmacy,medical,Farmacia Las Almendras,1,16106
-70.7502593100071,-33.461653704640305,Doctors,medical,CECOSF Padre Félix Gutiérrez Donoso,1,16107
-70.75356110930443,-33.461653704640305,Beverages,food_and_drink_stores,Disoben,1,16108
-70.75165405869484,-33.45555478496616,Restaurant,food_and_drink,Las Delicias,1,16109
-70.75032100081444,-33.45580653752519,Restaurant,food_and_drink,Comida China y Sushi,1,16110
-70.7502418756485,-33.455824439901555,Convenience,food_and_drink_stores,Minimarket Express Escorpión,1,16111
-70.75606226921082,-33.45844933583203,Restaurant,food_and_drink,Scropino Pizzeria,1,16112
-70.7484595477581,-33.45618920001503,Veterinary,veterinary,Veterinario La Travesia,2,16113
-70.75248152017593,-33.462690847524584,School,education_prim,Liceo Monseñor Enrique Alvear,1,16114
-70.75650751590729,-33.4596498691654,Place Of Worship,religion,Iglesia de Jesucristo de los últimos santos del día,1,16115
-70.7566000521183,-33.45958497589671,Church,religion,Lds Church,1,16116
-70.7479177415371,-33.45630108931286,Dentist,medical,Centro Dental,1,16117
-70.75646460056305,-33.46128113572056,Convenience,food_and_drink_stores,Botillería Los Flacos,1,16118
-70.74660211801529,-33.46097233864564,Butcher,food_and_drink_stores,Carnes El Roble,1,16119
-70.74682071805,-33.46137735487421,Place Of Worship,religion,Salón del Reino de los testigos de Jehová,1,16120
-70.75347259640694,-33.463838738774186,Butcher,food_and_drink_stores,Carniceria Don Manuel,1,16121
-70.74668660759926,-33.461686150506466,Pharmacy,medical,Farmacia Popular Pudahuel Sur,1,16122
-70.75493708252907,-33.463585890739964,Kindergarten,education_prim,Roberto Matta,1,16123
-70.74593290686607,-33.461007022429904,School,education_prim,Escuela Básica Puerto Futuro,1,16124
-70.74848502874374,-33.46365637500064,Doctors,medical,CECOSF Río Claro,1,16125
-70.7460629940033,-33.46166936816342,School,education_prim,Puerto Futuro,1,16126
-70.54357096552849,-33.324839221096695,Pitch,sport_and_leisure,NoName,1,16127
-70.67137286067009,-33.50175423485188,Playground,park_like,Plaza Mario Palestro,1,16128
-70.67107781767845,-33.50120290854811,Place Of Worship,religion,La Iglesia de Jesucristo de los Santos de los Últimos Días,1,16129
-70.66992044448853,-33.50001972584322,Pitch,sport_and_leisure,NoName,1,16130
-70.66982790827751,-33.49985421317357,Pitch,sport_and_leisure,NoName,1,16131
-70.6697165966034,-33.49952430521908,Pitch,sport_and_leisure,NoName,1,16132
-70.67059502005577,-33.499761391740606,Swimming Pool,sport_and_leisure,NoName,2,16133
-70.67060172557831,-33.49963278356658,Swimming Pool,sport_and_leisure,NoName,2,16134
-70.67084044218063,-33.49925925961264,Sports Centre,sport_and_leisure,Club Departamental SPORT,2,16135
-70.66983863711357,-33.49835899316008,Sports Centre,sport_and_leisure,Departamental SPORT,2,16136
-70.67358165979385,-33.50416414937771,School,education_prim,"Escuela The Children""s World",1,16137
-70.67423611879349,-33.502311149135124,Sports Centre,sport_and_leisure,Complejo Deportivo Estadio Davila,2,16138
-70.67373722791672,-33.50015728005084,Convenience,food_and_drink_stores,NoName,1,16139
-70.67283064126968,-33.499135124049566,Bakery,food_and_drink_stores,Panadería Barjos,1,16140
-70.76325863599777,-33.52519968540787,Convenience,food_and_drink_stores,Amasanderia Mardey,1,16141
-70.76325863599777,-33.525241051485715,Convenience,food_and_drink_stores,Fuente de Soda Tia Lucy,1,16142
-70.76315268874168,-33.52524216948754,Restaurant,food_and_drink,Tía Lucy,1,16143
-70.76282411813736,-33.524836333873886,Veterinary,veterinary,Veterinaria,2,16144
-70.60215175151825,-33.40451449298403,Playground,park_like,NoName,1,16145
-70.60253664851189,-33.40464772052901,Playground,park_like,NoName,1,16146
-70.60044452548027,-33.40568554491428,Kindergarten,education_prim,Jardín Infantil y Sala Cuna Hammarskjöld,1,16147
-70.59987857937813,-33.40619829499694,Fitness Centre,sport_and_leisure,KIFIT,2,16148
-70.7473061978817,-33.47903288021684,Park,park_like,Parque Santa Elena,1,16149
-70.747180134058,-33.48051053667496,Supermarket,food_and_drink_stores,Lider,2,16150
-70.74763610959053,-33.47755296131888,Park,park_like,plaza van dyck,1,16151
-70.74748054146767,-33.47620277894177,Recreation Ground,park_like,Plaza Rafael Sanzio,1,16152
-70.74913144111633,-33.478405343997984,Restaurant,food_and_drink,China Express,1,16153
-70.74927091598511,-33.479292394757714,Bakery,food_and_drink_stores,Panadería El Sol,1,16154
-70.73040962219238,-33.47156479255101,Swimming Pool,sport_and_leisure,NoName,2,16155
-70.7303774356842,-33.47166323767725,Swimming Pool,sport_and_leisure,NoName,2,16156
-70.72992146015167,-33.47126610040399,Swimming Pool,sport_and_leisure,NoName,2,16157
-70.7298544049263,-33.47134552800425,Swimming Pool,sport_and_leisure,NoName,2,16158
-70.72916507720947,-33.470834281472534,Park,park_like,Parque Ortuzano,1,16159
-70.72976589202881,-33.47203911803967,Kindergarten,education_prim,Escuela De Párvulos Sevilla,1,16160
-70.7298369705677,-33.47220468387254,School,education_prim,Escuela Básica La Merced,1,16161
-70.7308977842331,-33.46735280257334,Pharmacy,medical,NoName,1,16162
