id,monto,superficie_t,dormitorios,dormitorios_faltante,banos,banos_faltante,antiguedad,antiguedad_faltante,Or_N,Or_S,Or_E,Or_O,Or_Faltante,terraza,estacionamiento,bodegas,flag_Departamento,flag_Multinivel,flag_Semipiso,flag_Premium,flag_Monoambiente,flag_Loft,latitud,longitud,comuna,calle
2859481394,1825,28.0,1,0,1,0,9,1,0,0,0,0,1,0.0,0,0,1,0,0,0,0,0,-33.4445103,-70.6403146,Santiago,Lira
2851863752,1819,42.0,2,0,1,0,20,0,0,1,1,0,0,0.0,0,0,1,0,0,0,0,0,-33.4490621,-70.639387,Santiago,Avenida Santa Isabel
1591404207,1830,33.0,1,0,1,0,10,0,0,0,0,0,1,2.0,0,0,1,0,0,0,0,0,-33.4503644,-70.6384383,Santiago,Argomedo
2794613142,1830,38.0,1,0,1,0,18,0,0,0,0,1,0,5.0,0,1,1,0,0,0,0,0,-33.4462232,-70.6388685,Santiago,Angamos
2863821602,1848,37.0,1,0,1,0,0,0,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,-33.4509642,-70.6409468,Santiago,Carmen
2863964102,1848,37.0,1,0,1,0,0,0,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,-33.4509642,-70.6409468,Santiago,Carmen
1542955233,1850,33.0,1,0,1,0,12,0,1,0,0,0,0,3.0,0,0,0,0,0,0,1,0,-33.4447196,-70.6348311,Santiago,General Jofré
1572404963,1850,34.0,1,0,1,0,6,0,0,0,0,0,1,6.0,0,0,1,0,0,0,0,0,-33.4502812,-70.6429674,Santiago,Avenida Santa Isabel
1579039495,1850,32.0,1,0,1,0,16,0,1,0,0,0,0,2.0,0,0,1,0,0,0,0,0,-33.4460883,-70.6430468,Santiago,Curicó
2791000966,1850,35.0,1,0,1,0,9,1,0,0,0,0,1,3.0,0,0,1,0,0,0,0,0,-33.4500814,-70.6356379,Santiago,Argomedo
2850300734,1850,29.0,1,0,1,0,19,0,0,1,0,0,0,0.0,0,0,1,0,0,0,0,0,-33.4421015,-70.6342734,Santiago,Diagonal Paraguay
