id,monto,ppm2,superficie_t,superficie_u,terraza,ambientes,dormitorios,banos,estacionamiento,bodegas,cantidad_pisos,dep_por_piso,piso,tipo_depto,orientacion,antiguedad,latitud,longitud,comuna,calle
1575993891,2400,48.0,52.0,50.0,2.0,,2,2,,,,,18,Departamento,N,15,-33.4341072,-70.653576,Santiago,San Pablo
1586628027,2400,85.0,28.0,28.0,3.0,,1,1,,1,,,18,Monoambiente,,0,-33.4415592,-70.6590905,Santiago,Agustinas
1587860213,2400,68.0,43.0,35.0,8.0,1,1,1,,,27,12,10,Departamento,,5,-33.4345393,-70.6557535,Santiago,Teatinos
2725657694,2400,50.0,54.0,48.0,,2,2,2,,1,,,,Departamento,N,0,-33.4389456,-70.6580143,Santiago,San Martín
2755250932,2400,88.0,31.0,27.0,4.0,2,1,1,,,25,10,15,,O,,-33.436569,-70.647308,Santiago,Enrique Mac Iver
2760131016,2400,68.0,37.0,35.0,2.0,,1,1,,1,23,,9,-,Nor-poniente,17,-33.4368148,-70.6548582,Santiago,Santo Domingo
2805462010,2400,63.0,40.0,38.0,2.0,1,1,1,,,,16,24,Departamento,N,7,-33.4426048,-70.6591972,Santiago,Moneda
2813998608,2400,80.0,30.0,30.0,,1,1,,,,,,,,,,-33.4355325,-70.6546743,Santiago,Rosas
2852933818,2400,57.0,42.0,42.0,,,1,1,,,5,6,3,Departamento,P,60,-33.4377167,-70.6447362,Santiago,Merced
2864476628,2400,0.0,54.0,,5.0,,2,2,,1,,,,Departamento,,0,-33.4403233,-70.6579687,Santiago,San Martín
1567586969,2412,68.0,40.0,35.0,,1,1,1,,,,,1,Departamento,N,3,-33.4336754,-70.6544766,Santiago,Morandé
1551928127,2049,52.0,39.0,39.0,,1,1,1,,1,,,,Semi piso,S,0,-33.4379503,-70.644893,Santiago,Merced
1586818707,2408,40.0,65.0,60.0,3.0,1,1,1,,1,,,,Departamento,O,0,-33.4370227,-70.6577764,Santiago,Santo Domingo
2843246258,2420,62.0,39.0,39.0,,,2,1,,,26,,,Departamento,,16,-33.4370537,-70.6478646,Santiago,Monjitas
2840217936,2434,46.0,55.0,52.0,,2,2,2,,1,,1,24,Piso,,15,-33.4332638,-70.6533075,Santiago,Bandera
2864193976,2434,43.0,56.0,56.0,,,2,2,1,,,,,,,,-33.4363403,-70.6550369,Santiago,Santo Domingo
1554373877,2450,49.0,50.0,50.0,,,1,1,,1,26,,,-,Poniente,12,-33.4370537,-70.6478646,Santiago,Monjitas
2805755346,2450,47.0,52.0,52.0,,,3,1,,,4,,,Departamento,S,57,-33.4390789,-70.6587335,Santiago,Compañía De Jesús
2824119212,2450,54.0,50.0,45.0,5.0,,1,1,,1,20,10,7,Departamento,,20,-33.438046,-70.6560969,Santiago,Catedral
2853364434,2450,52.0,51.0,47.0,4.0,,2,1,1,1,34,15,12,Departamento,NP,10,-33.4423057,-70.6592633,Santiago,Tucapel Jiménez
2860816026,2450,40.0,61.0,61.0,,2,2,1,,,,,,Semi piso,S,0,-33.4423212,-70.6561427,Santiago,Hermanos Amunátegui
2864411788,2450,0.0,39.0,,,,1,1,1,,,,,Departamento,,0,-33.4381163,-70.6568016,Santiago,Hermanos Amunátegui
2863900408,2458,58.0,42.0,42.0,,,1,1,1,,,,,Departamento,,,-33.443617,-70.660014,Santiago,Avenida Manuel Rodríguez Norte
1555580441,2459,41.0,62.0,59.0,,,2,2,,,,,,Departamento,N,,-33.4333582,-70.6577128,Santiago,General Mackenna
1589048135,2470,51.0,48.0,48.0,2.0,,2,2,,,15,8,6,Departamento,O,10,-33.4331247,-70.6544226,Santiago,General Mackenna
1578411223,2475,77.0,32.0,32.0,,1,1,1,,,6,8,2,Departamento,P,81,-33.4404736,-70.6464592,Santiago,Agustinas
2843875838,2475,77.0,32.0,32.0,,,1,1,,,8,6,2,Departamento,O,81,-33.4405037,-70.6464344,Santiago,Agustinas
