id,monto,ppm2,superficie_t,superficie_u,terraza,dormitorios,banos,estacionamiento,bodegas,cantidad_pisos,piso,tipo_depto,antiguedad,latitud,longitud,comuna,calle,orientacion_norm,Or_N,Or_S,Or_E,Or_O
1584363701,8350,97.0,94.0,86.0,8.0,3.0,3.0,1,1,20.0,14.0,Departamento,24.0,-33.4244086,-70.5848248,Las Condes,Los Oleandros,S,0,1,0,0
1535748705,36800,90.0,530.0,405.0,125.0,3.0,3.0,6,2,4.0,3.0,Departamento,29.0,-33.3808267,-70.5162885,Las Condes,Camino La Viña,N,1,0,0,0
1584544883,5200,106.0,55.0,49.0,6.0,1.0,1.0,1,1,20.0,14.0,Departamento,20.0,-33.4071267,-70.5764588,Las Condes,Pío Xi,SE,0,1,1,0
1584327323,7500,110.0,72.0,68.0,4.0,2.0,2.0,1,0,10.0,4.0,Departamento,0.0,-33.4289004,-70.5760174,Las Condes,Latadía,O,0,0,0,1
1535551959,26700,107.0,248.0,248.0,0.0,3.0,5.0,2,1,5.0,5.0,Departamento,6.0,-33.3755399,-70.4938914,Las Condes,Hueicolla,N,1,0,0,0
1588011201,8100,77.0,117.0,105.0,12.0,3.0,2.0,1,1,19.0,7.0,Departamento,19.0,-33.4268224,-70.588719,Las Condes,Monte Alegre,NO,1,0,0,1
2751955574,7500,90.0,86.0,83.0,3.0,2.0,3.0,1,1,4.0,1.0,Departamento,31.0,-33.3677678,-70.4995099,Las Condes,Avenida Las Condes,N,1,0,0,0
2820285788,16500,103.0,180.0,160.0,20.0,4.0,3.0,2,1,15.0,13.0,Departamento,20.0,-33.4098045,-70.5766032,Las Condes,La Gloria,SE,0,1,1,0
2747539424,20500,91.0,260.0,224.0,36.0,4.0,5.0,2,0,1.0,3.0,Departamento,9.0,-33.400234,-70.50595,Las Condes,Avenida La Plaza,O,0,0,0,1
1582588289,27500,82.0,374.0,334.0,40.0,4.0,4.0,4,2,1.0,1.0,Departamento,20.0,-33.3754717,-70.5192543,Las Condes,Fray León,N,1,0,0,0
1591085185,4329,61.0,76.0,70.0,6.0,3.0,2.0,1,1,22.0,21.0,Departamento,47.0,-33.4265795,-70.5523816,Las Condes,Lolco,O,0,0,0,1
1583759621,7800,81.0,105.0,96.0,9.0,4.0,3.0,1,1,12.0,4.0,Departamento,19.0,-33.4253617,-70.5808289,Las Condes,Flandes,NO,1,0,0,1
