link,nombre,fecha_consultado,fecha_publicado,divisa,monto,ppm2,ppm2_avg,superficie_t,superficie_u,terraza,ambientes,dormitorios,banos,ubicacion,estacionamiento,bodegas,cantidad_pisos,dep_por_piso,piso,tipo_depto,orientacion,antiguedad,gastos_comunes,coordenadas
https://portalinmobiliario.com/MLC-2845496626-departamento-cerca-de-universidad-catolica-marcoleta-_JM#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=c61731a3-14bb-4be6-aed7-ee2d15710843,"Departamento Cerca De Universidad Católica, Marcoleta",2025-05-12,Publicado hace 2 meses,$,88.000.000,43 UF/m²,70 UF/m²,54 m²,52 m²,2 m²,,1,1,"Marcoleta, Santiago, Barrio San Borja, Santiago, RM (Metropolitana)",1,,18,4,6,Departamento,,8 años,,-33.442847%2C-70.6416733
https://portalinmobiliario.com/MLC-2794554230-departamento-a-la-venta-santiago-diagonal-paraguay-_JM#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=0b5cc99f-2d22-4fdd-8949-989d03e26f7f,"Departamento A La Venta Santiago, Diagonal Paraguay",2025-05-12,Publicado hace 5 meses,UF,5.200,50 UF/m²,80 UF/m²,102 m²,102 m²,,,3,2,"Diag. Paraguay 454, Santiago, Barrio San Borja, Santiago, RM (Metropolitana)",,,6,,,Departamento,,,,-33.44287%2C-70.642325
https://portalinmobiliario.com/MLC-2860864664-departamento-central-83360-_JM#polycard_client=search-nordic&position=41&search_layout=gallery&type=item&tracking_id=1f938e87-606c-455c-b091-4a811775f8f6,Departamento Central (83360),2025-05-12,Publicado hace 51 días,$,79.980.000,46 UF/m²,68 UF/m²,48 m²,44 m²,4 m²,,1,1,"Toesca 600 - 900, Ejército - Toesca, Santiago, RM (Metropolitana)",,1,12,6,7,Departamento,O,20 años,,-33.4527677%2C-70.6585822
https://portalinmobiliario.com/MLC-1589016327-venta-departamento-2d1b-a-pasos-de-metro-toesca-pt-_JM#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=a931880d-8343-4868-be73-090ec1130168,¡venta! Departamento 2d/1b A Pasos De Metro Toesca (pt),2025-05-12,Publicado hace 53 días,UF,2.100,43 UF/m²,68 UF/m²,51 m²,48 m²,,,2,1,"Toesca, Ejército - Toesca, Santiago, RM (Metropolitana)",,,6,,,Departamento,,14 años,,-33.45443%2C-70.65902
https://portalinmobiliario.com/MLC-1548795515-dpto-en-venta-vergara-con-domeyko-_JM#polycard_client=search-nordic&position=42&search_layout=grid&type=item&tracking_id=09c03252-f3b4-45e7-a6a0-28f3e638c378,Dpto En Venta Vergara Con Domeyko,2025-05-12,Publicado hace 5 meses,$,84.000.000,48 UF/m²,68 UF/m²,45 m²,45 m²,"5,8 m²",,1,1,"Vergara 749, Santiago, Ejército - Toesca, Santiago, RM (Metropolitana)",1,1,10,,4,,,28 años,,-33.4562113%2C-70.6612888
https://portalinmobiliario.com/MLC-1573860353-depto-2-dormitorios-metro-toesca-excelente-oportunidad-_JM#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=baf05cb5-7be5-40f9-9d93-e12e5ed8d9bd,Depto 2 Dormitorios Metro Toesca - Excelente Oportunidad,2025-05-12,Publicado hace 3 meses,UF,2.200,48 UF/m²,68 UF/m²,45 m²,45 m²,,,2,1,"Toesca 2400 - 2700, Santiago, Ejército - Toesca, Santiago, RM (Metropolitana)",1,1,,,,,,,,-33.4527677%2C-70.6585822
https://portalinmobiliario.com/MLC-2863969294-1-dormitorio-en-suite-con-terraza-y-estacionamiento-_JM#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=59510ac4-821a-425e-8034-6a82d02fe921,1 Dormitorio En Suite Con Terraza Y Estacionamiento,2025-05-12,,UF,2.200,61 UF/m²,61 UF/m²,36 m²,36 m²,,,1,1,"Cumming / Martinez De Rozas / Entrega Inmediata, Parque Los Reyes, Santiago, RM (Metropolitana)",1,,7,,6,Departamento,S,0 años,,-33.4337087%2C-70.6707111
https://portalinmobiliario.com/MLC-2863793598-en-venta-departamento-con-gran-ubicacion-89136-_JM#polycard_client=search-nordic&position=40&search_layout=grid&type=item&tracking_id=5dc9f491-cf91-4d74-b63f-5c9d84e04d02,En Venta Departamento Con Gran Ubicación (89136),2025-05-12,Publicado hace 44 días,UF,4.300,74 UF/m²,103 UF/m²,64 m²,58 m²,6 m²,,2,1,"Avenida Américo Vespucio Sur 1800 - 2100, Las Condes, Chile, Sebastián Elcano, Las Condes, RM (Metropolitana)",1,,3,,3,Departamento,SP,35 años,,-33.4309209%2C-70.5742198
https://portalinmobiliario.com/MLC-2755179324-comodo-departamento-en-lindo-barrio-familiar-_JM#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=ac06bdcc-89a8-4b47-bcc3-1817aa4be8a1,Cómodo Departamento En Lindo Barrio Familiar,2025-05-12,,UF,8.990,80 UF/m²,92 UF/m²,130 m²,111 m²,19 m²,3,3,2,"Las Condes, Sebastián Elcano, Las Condes, RM (Metropolitana)",2,1,13,4,8,Departamento,SO,29 años,,-33.4193028%2C-70.567725
https://portalinmobiliario.com/MLC-2805705104-departamento-con-espectacular-vista-en-san-carlos--_JM#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=a873ff36-d31c-4a56-8a59-7bda5b93705c,Departamento Con Espectacular Vista En San Carlos ...,2025-05-12,,UF,15.750,112 UF/m²,97 UF/m²,170 m²,140 m²,30 m²,4,4,3,"Las Condes, El Remanso, Las Condes, RM (Metropolitana)",2,1,4,3,4,Departamento,O,12 años,,-33.4152337%2C-70.518122
https://portalinmobiliario.com/MLC-2758288182-amplio-y-con-vista-panoramica-metro-manquehue-_JM#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=478e2c01-1ed8-4128-a889-aad82b737897,Amplio Y Con Vista Panoramica (metro Manquehue),2025-05-12,Publicado hace 6 meses,UF,11.990,109 UF/m²,98 UF/m²,160 m²,110 m²,50 m²,,4,3,"O'connell, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",1,1,,3,15,Departamento,S,34 años,,-33.4072696%2C-70.5688537
