link,nombre,fecha_consultado,fecha_publicado,divisa,monto,ppm2,ppm2_avg,superficie_t,superficie_u,terraza,ambientes,dormitorios,banos,ubicacion,estacionamiento,bodegas,cantidad_pisos,dep_por_piso,piso,tipo_depto,orientacion,antiguedad,gastos_comunes,coordenadas
https://portalinmobiliario.com/MLC-2857869344,Venta Departamento 1 Dormitorio Macul,2025-04-05,Publicado hace 21 días,UF,3.541,99 UF/m²,81 UF/m²,"42,06 m²","35,67 m²","6,39 m²",,1,1,"Exequiel Fernández 3858, Escuela Agrícola, Macul, RM (Metropolitana)",,,,,,,,-0 años,,-33.489102%2C-70.601706
https://portalinmobiliario.com/MLC-2857896826,Departamento Manquehue Norte.,2025-04-05,Publicado hace 2 meses,$,280.000.000,83 UF/m²,91 UF/m²,100 m²,86 m²,14 m²,,2,1,"Manquehue, Las Condes, Sebastián Elcano, Las Condes, RM (Metropolitana)",,1,12,4,,,,44 años,,-33.4252987%2C-70.5643328
https://portalinmobiliario.com/MLC-2835152268,Departamento Con Espectacular Vista Despejada ,2025-04-05,,UF,6.900,77 UF/m²,82 UF/m²,80 m²,89 m²,9 m²,,3,2,"Managua 2100 - 2400, Ñuñoa, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",2,1,22,6,21,Departamento,N,25 años,,-33.4519148%2C-70.6078883
https://portalinmobiliario.com/MLC-1590596267,Amplio Y Exclusivo Departamento En El Corazón De Providencia,2025-04-05,Publicado hace 10 días,UF,12.390,77 UF/m²,82 UF/m²,203 m²,160 m²,26 m²,,3,3,"Carlos Antúnez 2400 - 2700, Providencia, Las Lilas, Providencia, RM (Metropolitana)",1,1,,2,,Departamento,,30 años,,-33.426705%2C-70.6005713
https://portalinmobiliario.com/MLC-1570596431,"Departamento, 1b 1e, Piscina, Metro Ecuador",2025-04-05,Publicado hace 2 meses por Century 21,UF,1.270,52 UF/m²,59 UF/m²,24 m²,24 m²,,,1,1,"Metro Ecuador, Estación Central, RM (Metropolitana)",,,29,10,,Departamento,,15 años,,-33.455286%2C-70.703061
https://portalinmobiliario.com/MLC-2855379542,Muy Bien Ubicado (85957),2025-04-05,Publicado hace 25 días,UF,2.950,55 UF/m²,53 UF/m²,55 m²,53 m²,2 m²,,2,2,"Avenida Manuel Rodríguez 1500 - 1800, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",,1,23,8,17,Departamento,SO,18 años,,-33.433772%2C-70.6599252
https://portalinmobiliario.com/MLC-1589475045,"Ñuñoa, Vive Seguro En Un Amplio Departamento",2025-04-05,Publicado hace 15 días,UF,7.200,79 UF/m²,82 UF/m²,103 m²,91 m²,12 m²,7,3,2,"Monseñor Eyzaguirre, 102, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",1,1,1,8,4,Departamento,SO,17 años,,-33.4544375%2C-70.6136363
https://portalinmobiliario.com/MLC-2800397896,Departamento En Venta De 1 Dorm. En Estación Central,2025-04-05,,UF,999,37 UF/m²,59 UF/m²,"26,5 m²","26,5 m²",,,1,1,"Maria Rozas Velazquez, Metro Las Rejas, Estación Central, RM (Metropolitana)",530,,24,10,,Clásico,Oriente,9 años,,-33.4534517%2C-70.7058777
https://portalinmobiliario.com/MLC-2831501110,Vendo Departamento Ubicado En Villa Alemana ,2025-04-05,Publicado hace 9 meses,$,125.000.000,45 UF/m²,42 UF/m²,75 m²,70 m²,5 m²,,2,2,"Ignacio Carrera Pinto, Villa Alemana, Chile, Villa Alemana, Valparaíso",1,1,15,4,10,Departamento,N,5 años,,-33.0504831%2C-71.3653512
https://portalinmobiliario.com/MLC-2857908482,Departamento En Venta En Coquimbo,2025-04-05,Publicado hace 21 días,UF,1.550,27 UF/m²,54 UF/m²,60 m²,57 m²,3 m²,,3,1,"(scl68357)portugal Sur 1178 Condominio Parque El Sauce, Rinconada, Coquimbo, Coquimbo",1,,5,,5,Departamento,S,8 años,,-29.9950668%2C-71.332083
